20000101;25;61;35;81;0;20;10
20000102;37;73;54;87;0;0;-1
20000103;61;84;64;96;0;64;45
20000104;38;64;43;94;0;82;109
20000105;40;44;14;74;65;0;0
20000106;52;72;42;91;10;19;19
20000107;48;61;43;74;0;0;0
20000108;43;54;8;81;8;27;17
20000109;15;8;-26;70;57;0;0
20000110;18;-8;-40;43;58;0;0
20000111;40;21;-12;44;29;0;0
20000112;54;7;-6;26;67;0;0
20000113;42;20;-9;36;13;0;-1
20000114;20;29;15;40;0;0;-1
20000115;27;32;20;54;33;0;-1
20000116;26;54;27;69;0;9;3
20000117;47;64;48;75;5;1;1
20000118;62;66;41;86;16;10;3
20000119;29;39;13;56;0;3;1
20000120;38;52;36;61;0;31;15
20000121;37;52;23;78;19;3;1
20000122;40;47;30;61;17;52;53
20000123;33;11;-40;44;9;0;-1
20000124;17;-28;-77;9;77;0;0
20000125;31;5;-14;28;31;0;0
20000126;33;24;-11;55;45;0;-1
20000127;54;24;5;38;0;0;-1
20000128;71;32;-4;59;0;18;3
20000129;94;90;55;113;0;65;95
20000130;63;91;72;103;1;1;1
20000131;73;97;87;108;0;30;36
20000201;69;90;76;102;7;21;14
20000202;47;74;60;90;44;71;74
20000203;38;64;34;91;27;0;-1
20000204;64;76;56;92;0;33;23
20000205;49;84;61;118;75;0;-1
20000206;46;76;54;89;0;13;6
20000207;68;79;63;94;35;68;69
20000208;73;86;63;119;5;43;63
20000209;63;65;49;85;13;0;-1
20000210;58;58;35;82;15;61;95
20000211;39;46;5;89;77;0;0
20000212;58;45;21;69;31;34;41
20000213;43;52;15;83;61;0;-1
20000214;37;45;-8;80;45;32;25
20000215;35;66;43;91;26;29;18
20000216;54;37;3;63;63;66;145
20000217;44;36;9;79;55;17;10
20000218;48;49;8;84;1;78;72
20000219;46;48;13;68;7;13;9
20000220;23;22;-28;78;85;0;-1
20000221;28;22;-37;60;40;14;6
20000222;21;28;-7;65;17;0;0
20000223;28;51;-15;100;58;0;-1
20000224;46;78;43;97;16;94;119
20000225;34;54;29;92;81;51;112
20000226;27;34;-7;95;81;0;0
20000227;55;76;6;123;76;0;0
20000228;67;92;53;127;5;25;12
20000229;69;65;39;88;22;65;111
20000301;43;53;26;82;41;23;32
20000302;68;49;14;82;24;100;162
20000303;69;69;33;102;29;71;140
20000304;43;19;-2;54;59;32;39
20000305;35;32;-4;75;54;5;7
20000306;65;63;31;84;7;0;-1
20000307;63;96;75;129;19;37;31
